id,roa,stake,luck,blocks,pledge
pool1kxtzkv3ylyc48hgjqkwe93q2vkx67vgzag9tvqfalhwsjs43w9u,1.841,209353336970,1.001,0,161595273997
pool13qe6ycacqjg3gpvjewg8734d6hs6rhduuenjtnnkwh327hmtyz5,1.842,414026314867,0.836,0,143316469372
pool1hvevy8qu5lwg7ul66xmzvwv8zwdgdradsg9ncvrflm7dvy407e0,1.017,192815152122,1.031,0,51370303928
pool18t0u9vf408ftjf9xdpj47gdwkeq3jz3jqyshumm7fvtfkcq7ul7,2.337,214677984437,1.303,0,210860531347
pool17gfj5t240hqaqr7vtrlrlhmyazw3lcyqvfd06v4kpxv7qxpdzau,1.33,1055521823353,0.756,1,31911997332
pool1mchqp2fr7mwsz6jrpplxpr0ekmwafev8arl57wwxfck5x0dwv60,0.0,150874890510,0.968,0,104129109753
pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,2.981,61271793448018,0.964,42,1183534647457
pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv,2.81,52168395892074,0.982,32,255686107554
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,3.027,62067241455178,0.992,53,36462079775
pool18qmfd3ljn2dynsw6f8knt04m6cyhe6jmtz54mfw8mun7u9vqqx6,0.847,203159478164,0.862,0,90331788645
pool1tnmd6aq6rn3ctyqqqw8csvl5vlqncx3fwaqk8rsxsmqn5v9e28n,2.848,1856984212907,0.871,1,65999414915
pool15fxktqvd92sq8plh3rjdrksumt9p8rzsayfk4akv2hng5r8ukha,1.936,700769243835,0.929,1,45570319643
pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,3.102,69953721738928,0.981,56,324714012741
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,3.203,60457745464816,1.003,54,776412019036
pool18rpw5dwfywfrzjuy7uzn2cetrw9v85aan8a80p3fdvtqcxykkqu,1.024,414225769256,0.811,0,60336109813
pool1zeya2r53sxmqh2ux3ssfsrqerergnw2hjxmp63r83ntwverpqwm,2.014,6109190123538,0.96,0,11503453175
pool1vtpn0drn5t39frknedmqq2jkhsfstwketsnvdm7cjzz674s30v2,3.042,64713764849245,1.033,47,84608630088
pool1sjwdmeme5zs042jzwmdvxshhv27kepxke0mr02f2yzacsyd4wtu,2.931,54761536066822,0.983,40,100085928583
pool1vc8jp7uagxgh8trzx7r260ndcydz89ges8sws05cyv7jj8q8gqs,3.249,56680346427826,0.988,37,387340911525
pool17n47upcpnzsdks0yd409nf79sg6hqy73twg87eddwh24uj745rt,0.83,243911886009,0.909,0,51443037499
pool1c7jrfce3zxkk9s9enzpvwj8fuayvx3pdzc2k2es6mrw6gsfcjep,3.189,54269675076368,1.0,45,5003116079240
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,2.966,70099910081616,0.982,49,515744075546
pool1tmt8thfaqeqv499l3s7k5kl64s84nycvnx55ll3ksm9hq50p0ks,3.026,59358040211632,0.974,34,1620886983711
pool19at4pzt6ghethuls7ehr0v5x65cg7mj0zun79eenefa074yfcz8,0.391,268315659932,1.129,0,115006083329
pool1qfxukshs4fkcrflzdnxa2fdza5lfvew3y6echg8ckaa4q8m5hyf,2.924,52059565663886,0.986,32,1008659598281
pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,2.835,56599273014270,1.008,36,388035890778
pool19aw7zl62a72fy0vz2g8tj7raxzqhw2775ynymyvaeayvk8xf9er,1.552,279545822234,1.051,1,20778973982
pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,3.125,52660187518386,0.975,36,54913431588
pool1vvesqladm29fuzrv93px5qse0upw82a579lz9063xsfrz7yef7z,0.116,705339148746,0.877,0,81226687561
pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,3.004,51663823266447,0.991,16,760060213671
pool1zvsanfncazr5udf0s0s07hzd0e0nkqhza9d8h48ujq65vuamnu3,1.255,136731505467,0.779,0,30318999299
pool1h40xjqda9wmw9cff5jss3ww9npujkhlvg6xjy9l5ujsu5rqlw28,1.82,283177423609,1.076,0,17008689149
pool1a2nh3ktswllhwf07fjahpdg5mpqyq7j950pyftq9765r6t4cefl,2.834,52568697185517,0.98,40,381322362168
pool13r4e7tttcxp4qfs4gqtv0hz5k48qdhhxrskz8pjrj6fqy5qmee0,2.68,5223033662522,0.9,5,11665439046
pool1lr5ku0p3jhykdf3a2kcr0tyra30qvzrtl02dr6uyv98rxdsy3k9,1.154,1866059373177,0.981,1,10051617741
pool1gckg0tjrt2jk2azwd8hmly5mrac30ksc2k8z8gf8ecyru7qpcdg,0.782,201982371609,0.523,0,201256149246
pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,3.058,48403122346176,0.972,29,547947846016
pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne,2.9,42611100906948,0.963,32,100005261958
pool1x9q4jf3zwftwygeeulku8xtlywmtmzwxjk2g3fz3j5mlwjqnr3p,2.788,21083840495383,0.944,12,46977832880
pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,2.863,48486849068742,0.983,35,1000005730992
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,3.023,49458500586526,0.988,34,5011724116887
pool1wntxmftndrsj7y4aqles8knl3nfuyj22l83jun02yyx9s962gm3,0.0,92960357403,0.518,0,65888424634
pool15g3cwwmd3qks03ztl5464j044jasn3dcs6zcgpxtxadfj86lvf2,0.0,248954677406,0.885,0,21525615995
pool1rtnv5vj0glxu9w2mkl9ptev72enx75gjzdkc8urfhavr5reah0c,0.0,140076528677,0.797,1,43123327357
pool1gqgyta9sku3crjzfl9kj7kxsgfkt98y98yeu09kx22zscrezuj7,2.8,55085133314087,0.982,34,2116820124730
pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,2.856,45562904669972,0.985,38,100012296823
pool177q3zxxyqzp5kffeh5jxssnxk7rwnpkf04628kcsf0cyj6jaklw,0.215,370046171016,0.938,0,19354685250
pool1mh4ng2ldxk4sqfppzu6r4knxrk6e87e9c4wgrred84uy7xauzlh,2.785,43745907437045,0.979,36,100007645511
pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,3.006,44180066898331,1.001,37,425804696385
pool12jnulzs7j8lsku4r2a7q6tee6tt66872vwhqh8jxvgzn6837jtl,2.789,48475754849521,0.987,34,103800586866
pool1qqq6qqa0hpzvumv5p87ynczfmdj557xuwlc3289ke42g72z7f74,2.988,45654609376855,0.981,43,531669245712
pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962,2.976,44411614982182,0.997,35,413557356514
pool1nw42xqnaplxsx3fq4ytl4x4qqvhs7g5uymnm906pfvx5636fglw,0.0,59093728863,0.0,0,25927800519
pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,3.129,43875934859912,0.989,37,379247765612
pool1myvgx4ef424e6nw2strqq7dxcepav52plyyhxrk0avaw7y098l2,3.094,43094001063927,1.0,32,202923498944
